time	interval	nano(22)ch2	nano(23)ch2	nano(24)ch2	HP(20)	current_flag	window_position
11:25:46	 0.00974083	0.0033875636	0.0034152329	0.0033384357	-0.0000099974	1	Both Open
11:25:47	 2.04283905	-0.0033875467	-0.0034154131	-0.0033387070	0.0000099978	-1	Both Open
11:25:49	 4.10422969	0.0033875594	0.0034153558	0.0033384069	-0.0000099974	1	Both Open
11:25:51	 6.17673659	-0.0033875734	-0.0034156435	-0.0033387064	0.0000099979	-1	Both Open
11:25:53	 8.21742892	0.0033875825	0.0034155349	0.0033384097	-0.0000099974	1	Both Open
11:25:55	10.28614640	-0.0033876096	-0.0034157833	-0.0033387385	0.0000099979	-1	Both Open
11:25:58	12.32711029	0.0033876370	0.0034156670	0.0033384318	-0.0000099974	1	Both Open
11:26:00	14.50808001	-0.0033876478	-0.0034158985	-0.0033387882	0.0000099979	-1	Both Open
11:26:02	16.73993087	0.0033876700	0.0034157680	0.0033385092	-0.0000099975	1	Both Open
11:26:04	18.86219549	-0.0033876850	-0.0034159908	-0.0033388363	0.0000099979	-1	Both Open
11:26:06	20.98540950	0.0033876616	0.0034158603	0.0033385279	-0.0000099975	1	Both Open
11:26:08	23.13803220	-0.0033875781	-0.0034160721	-0.0033388379	0.0000099979	-1	Both Open
11:26:10	25.27171516	0.0033874677	0.0034159215	0.0033385583	-0.0000099975	1	Both Open
11:26:13	27.33218026	-0.0033874388	-0.0034161316	-0.0033388667	0.0000099980	-1	Right Cavity Closed
11:26:15	29.37426448	0.0033873635	0.0034159635	0.0033385998	-0.0000099975	1	Right Cavity Closed
11:26:17	31.43461108	-0.0033873376	-0.0034162108	-0.0033388943	0.0000099979	-1	Right Cavity Closed
11:26:19	33.48649812	0.0033873016	0.0034160066	0.0033386020	-0.0000099975	1	Right Cavity Closed
11:26:21	35.54635143	-0.0033873167	-0.0034162332	-0.0033389479	0.0000099979	-1	Right Cavity Closed
11:26:23	37.58892655	0.0033872665	0.0034160618	0.0033386219	-0.0000099975	1	Right Cavity Closed
11:26:25	39.64675951	-0.0033872921	-0.0034162769	-0.0033389750	0.0000099979	-1	Right Cavity Closed
11:26:27	41.69020867	0.0033872403	0.0034161027	0.0033386462	-0.0000099974	1	Right Cavity Closed
11:26:29	43.74910045	-0.0033872727	-0.0034163244	-0.0033389683	0.0000099979	-1	Right Cavity Closed
11:26:31	45.80124569	0.0033872613	0.0034161584	0.0033386981	-0.0000099974	1	Right Cavity Closed
11:26:33	47.85328746	-0.0033873057	-0.0034163446	-0.0033390291	0.0000099980	-1	Right Cavity Closed
11:26:35	49.89501929	0.0033872707	0.0034162086	0.0033387197	-0.0000099974	1	Right Cavity Closed
11:26:37	51.95707679	-0.0033873072	-0.0034163921	-0.0033390203	0.0000099979	-1	Right Cavity Closed
11:26:39	54.01941991	0.0033872765	0.0034162294	0.0033387175	-0.0000099975	1	Right Cavity Closed
11:26:41	56.09574986	-0.0033873324	-0.0034164505	-0.0033390452	0.0000099978	-1	Right Cavity Closed
11:26:43	58.12804341	0.0033872995	0.0034162671	0.0033387849	-0.0000099975	1	Right Cavity Closed
11:26:45	60.19748569	-0.0033873612	-0.0034164620	-0.0033390860	0.0000099979	-1	Right Cavity Closed
11:26:47	62.24953985	0.0033873467	0.0034163146	0.0033387816	-0.0000099975	1	Right Cavity Closed
11:26:50	64.32107711	-0.0033873806	-0.0034165144	-0.0033391070	0.0000099979	-1	Right Cavity Closed
11:26:52	66.35340738	0.0033873593	0.0034163643	0.0033388186	-0.0000099974	1	Right Cavity Closed
11:26:54	68.43560481	-0.0033874115	-0.0034165602	-0.0033391778	0.0000099979	-1	Right Cavity Closed
11:26:56	70.46620727	0.0033874043	0.0034163888	0.0033388473	-0.0000099974	1	Right Cavity Closed
11:26:58	72.52833128	-0.0033874335	-0.0034165717	-0.0033391733	0.0000099979	-1	Right Cavity Closed
11:27:00	74.57111859	0.0033874164	0.0034164418	0.0033388788	-0.0000099975	1	Right Cavity Closed
11:27:02	76.63310885	-0.0033874581	-0.0034166110	-0.0033392153	0.0000099979	-1	Right Cavity Closed
11:27:04	78.67665625	0.0033874379	0.0034164707	0.0033389158	-0.0000099974	1	Right Cavity Closed
11:27:06	80.74884963	-0.0033874959	-0.0034166509	-0.0033392435	0.0000099978	-1	Right Cavity Closed
11:27:08	82.78086257	0.0033874478	0.0034165095	0.0033389225	-0.0000099975	1	Right Cavity Closed
11:27:10	84.85077929	-0.0033875084	-0.0034166913	-0.0033392684	0.0000099979	-1	Right Cavity Closed
11:27:12	86.90108824	0.0033874939	0.0034165313	0.0033389540	-0.0000099974	1	Right Cavity Closed
11:27:14	88.97090459	-0.0033875472	-0.0034167497	-0.0033392916	0.0000099979	-1	Right Cavity Closed
11:27:16	91.01289582	0.0033875285	0.0034165734	0.0033389960	-0.0000099975	1	Right Cavity Closed
11:27:18	93.07495260	-0.0033875624	-0.0034167464	-0.0033393187	0.0000099979	-1	Right Cavity Closed
11:27:20	95.11704850	0.0033875479	0.0034166127	0.0033389937	-0.0000099974	1	Right Cavity Closed
11:27:22	97.18479276	-0.0033875954	-0.0034167879	-0.0033393491	0.0000099979	-1	Right Cavity Closed
11:27:24	99.21783376	0.0033875647	0.0034166356	0.0033390330	-0.0000099974	1	Right Cavity Closed
